"%s has been added to your wishlist.","%s has been added to your wishlist."

"The requested quantity is not available.","A quantidade solicitada não está disponível."
"The minimum quantity allowed for purchase is ","A quantidade mínima permitida para compra é "
"The maximum quantity allowed for purchase is ","A quantidade máxima permitida para compra é "
"Update Cart","Atualizar o carrinho"
"Empty Cart","Limpar carrinho"
"Are you sure you would like to remove all the items from the shopping cart?","Tem certeza de que deseja remover todos os itens do carrinho de compras?"
"Don\'t have an account yet? Click here to <a href="%s">create an account</a>.","Don\'t have an account yet? Click here to <a href="%s">create an account</a>."
"Go to Shopping Cart","Ir para o carrinho de compras"
"Go to Wishlist","Enviar para Lista de presentes"
"Select your options","Selecione sua opção"
"Hold your finger over a Product Image to drag it to the cart, it\'s FUN!","Arraste a imagem para o carrinho"
"Best Selling Products","Produtos mais vendidos"
"Popular Products","Produtos populares"